2803050/1:やんぴ		やんぴ	ctr	nth person to quit a game
2432320/0:スケ		スケ	ctr	square millimetre (of the thickness of a cable)
2220325/0:ヶ		ヶ	ctr	counter for the ichi-ni-san counting system (usu. directly preceding the item being counted)
2220325/1:ヶ		ヶ	ctr	counter for articles
2098280/0:時限目	時限目	じげんめ	ctr	nth period (e.g. nth class in school day)
2087270/0:ヶ国語	ヶ国語	かこくご	ctr	counter for languages
1981160/0:営業日	営業日	えいぎょうび	ctr	business day
2859171/0:校時	校時	こうじ	ctr	counter for periods in a school day
2855520/0:カ年	カ年	かねん	ctr	counter for years
2855028/1:揃え	揃え	そろえ	ctr	counter for sets
2847138/0:番個	番個	ばんこ	ctr	-nth game (of 12 rounds)
2842624/0:代目	代目	だいめ	ctr	nth generation
2837035/0:層倍	層倍	そうばい	ctr	times
2739170/0:個目	個目	こめ	ctr	the nth (thing)
2710970/0:名様	名様	めいさま	ctr	counter for people (usu. seating, reservations and such)
2386360/0:分間	分間	ふんかん	ctr	minutes (period of)
2381780/1:倍速	倍速	ばいそく	ctr	-times speed
2268180/0:限目	限目	げんめ	ctr	nth period (e.g. nth class in school day)
2086750/0:カ国	カ国	かこく	ctr	counter for countries
2081610/2:立て	立て	たて	ctr	counter for consecutive losses
2059920/0:枚組	枚組	まいぐみ	ctr	counter for collections or assemblies of flat objects (e.g. CDs, DVDs, etc.)
2800530/5:廻り	廻り	まわり	ctr	round
2800530/6:廻り	廻り	まわり	ctr	size
2800530/7:廻り	廻り	まわり	ctr	12-year period
1606950/1:割り引き	割り引き	わりびき	ctr	tenths discounted
1590250/1:箇所	箇所	かしょ	ctr	counter for places, parts, passages, etc.
1515340/1:包み	包み	つつみ	ctr	counter for wrapped objects
1482410/0:番目	番目	ばんめ	ctr	the nth ...
1433610/1:通話	通話	つうわ	ctr	counter for telephone calls of a set duration
1432920/7:通り	通り	とおり	ctr	counter for sets of things
1432920/8:通り	通り	とおり	ctr	counter for methods, ways, kinds, etc.
1384840/4:切れ	切れ	きれ	ctr	counter for scraps, pieces, etc.
1328890/1:種類	種類	しゅるい	ctr	counter for kinds, species, etc.
1222490/0:気筒	気筒	きとう	ctr	cylinder
1194480/0:ヶ月	ヶ月	かげつ	ctr	counter for months
1194480:か月	か月	かげつ	ctr	counter for months
2844196/1:緡	緡	さし	ctr	string of coins (usu. 100 mon)
2843452/0:貼	貼	ちょう	ctr	counter for doses of medicine, etc.
2843408/0:朶	朶	だ	ctr	branch (of flowers)
2836694/0:傑	傑	けつ	ctr	the top (e.g. top ten)
2731030/0:択	択	たく	ctr	counter for choices, options, etc.
2714770/0:輛	輛	りょう	ctr	counter for carriages (e.g. in a train)
2703290/3:符	符	ふ	ctr	fu
2658340/0:巡	巡	じゅん	ctr	counter for tours, cycles, rounds, circuits, etc.
2648880/1:駄	駄	だ	ctr	load
2594080/2:Ｊ	Ｊ	ジェー	ctr	joule
2594080/4:Ｊ	Ｊ	ジェー	ctr	tatami mat (as a measure of room size, either 1.82 sqm or 1.54 sqm)
2593990/2:勝	勝	しょう	ctr	counter for wins
2516940/0:騎	騎	き	ctr	counter for horsemen
2859250/0:包	包	ほう	ctr	counter for packaged goods (esp. powdered medicine)
2429460/1:菓	菓	か	ctr	counter for fruit
2426440/1:縮	縮	しゅく	ctr	counter for suits of armour
2406720/2:壮	壮	そう	ctr	counter for times of moxibustion
2833260/0:翻	翻	ファン	ctr	han
2259610/1:校	校	こう	ctr	proof (of a book, document, etc.)
2258110/1:帖	帖	じょう	ctr	counter for units of paper and nori (48 pages of Mino paper; 20 pages of hanshi; 10 sheets of nori)
2258110/2:帖	帖	じょう	ctr	counter for folding books, folding screens, shields, etc.
2258110/3:帖	帖	じょう	ctr	counter for pairs (of curtains)
2258110/4:帖	帖	じょう	ctr	counter for tatami mats
2249290/0:荘	荘	チャン	ctr	counter for games of mahjong
2247920/1:張	張	ちょう	ctr	counter for objects with stretched strings (i.e. bows, kotos), curtains, papers, etc.
2236150/0:拍	拍	はく	ctr	beat
2236150/1:拍	拍	はく	ctr	mora
2208060/0:遍	遍	へん	ctr	number of times
2187130/3:果	果	か	ctr	counter for pieces of fruit
2172070/1:帙	帙	ちつ	ctr	counter for book covers
2100260/1:顆	顆	か	ctr	counter for grains and small spheres
2093400/0:速	速	そく	ctr	gear
2080750/1:乗	乗	じょう	ctr	counter for vehicles
2080720/1:両	両	りょう	ctr	counter for carriages (e.g. in a train)
2080720/6:両	両	りょう	ctr	counter for suits of clothing, sets of armor, etc.
2077160/0:艘	艘	そう	ctr	counter for (small) boats
2038290/0:隻	隻	せき	ctr	counter for ships
2038290/1:隻	隻	せき	ctr	counter for half of a pair (e.g. half of a folding screen)
2038290/2:隻	隻	せき	ctr	counter for items carried in a bundle (e.g. fish, birds, arrows)
1956480/2:食	食	し	ctr	meal
1956010/2:貫	貫	かん	ctr	counter for pieces of sushi
1919590/0:級	級	きゅう	ctr	(school) grade
1919590/2:級	級	きゅう	ctr	kyu (junior rank in martial arts, go, shogi, etc.)
1919550/0:泊	泊	はく	ctr	counter for nights of a stay
1901390/1:敗	敗	はい	ctr	counter for losses
1897060/1:投	投	とう	ctr	counter for throws (of a javelin, bowling ball, etc.)
1897060/2:投	投	とう	ctr	counter for casts (of a line)
1853450/7:〆	〆	しめ	ctr	counter for bundles (of wood, cotton, etc.)
1853450/8:〆	〆	しめ	ctr	counter for reams of 2000 sheets of Japanese writing paper
2600310/0:刷	刷	さつ	ctr	printing
2205770/0:世	世	せい	ctr	counter for generations
